ticker,open,high,low,close,volume,vwap,timestamp,transactions,sma_close_20
AAPL,252.23,253.5,250.75,252.2,35557542.0,252.2669,2024-12-30 05:00:00+00:00,421634,167.92309576861132
AAPL,269.81,275.91,269.8,275.25,46201578.0,274.0648,2025-11-11 05:00:00+00:00,702800,160.6613307966363
AAPL,269.99,270.71,265.32,267.44,45656607.0,267.7248,2025-11-18 05:00:00+00:00,706213,172.76097893859958
AAPL,262.65,262.85,255.43,258.45,45011970.0,258.6829,2025-10-22 04:00:00+00:00,687110,78.48140161253097
AAPL,264.88,269.12,264.6501,268.81,44888052.0,267.0053,2025-10-27 04:00:00+00:00,661981,203.9338619731611
AAPL,268.815,270.49,265.73,267.46,44958759.0,267.9843,2025-11-17 05:00:00+00:00,705038,-18.857157474526957
AAPL,197.72,200.05,194.6796,197.49,50478872.0,197.7519,2025-05-08 04:00:00+00:00,599001,154.26455144351365
AAPL,235.105,241.37,234.76,239.07,46250710.0,238.9039,2025-03-07 05:00:00+00:00,581194,199.89166963273343
AAPL,193.265,193.8,189.8112,193.16,46742537.0,192.0767,2025-04-21 04:00:00+00:00,576340,158.1591766660103
AAPL,203.0,205.7,202.05,203.92,46607693.0,204.0682,2025-06-06 04:00:00+00:00,556357,221.9557185883043
AAPL,213.14,214.95,212.2301,214.4,46404072.0,213.6492,2025-07-22 04:00:00+00:00,549182,139.31041268732642
AAPL,269.275,271.41,267.11,269.7,51086742.0,269.5125,2025-10-29 04:00:00+00:00,687375,93.11303346120974
AAPL,215.0,215.15,212.41,214.15,46989301.0,213.7982,2025-07-23 04:00:00+00:00,497904,134.62519890440063
AAPL,233.33,235.57,233.33,235.06,45986189.0,234.7502,2024-11-26 05:00:00+00:00,450015,143.68787444669786
AAPL,201.35,203.77,200.955,203.27,46381567.0,202.8132,2025-06-03 04:00:00+00:00,519820,112.81229975117967
AAPL,213.9,215.69,213.53,213.76,46022620.0,214.3924,2025-07-24 04:00:00+00:00,505013,124.19460354301768
AAPL,207.91,209.48,204.26,208.78,46140527.0,207.6892,2025-05-19 04:00:00+00:00,617742,144.64455958342265
AAPL,224.78,225.63,221.41,222.78,54697907.0,223.1447,2025-01-24 05:00:00+00:00,579473,236.50015059630275
AAPL,212.68,216.23,208.8,209.95,50228984.0,211.1605,2025-07-07 04:00:00+00:00,670324,207.41861513097524
AAPL,270.42,270.85,266.25,269.05,50194063.0,268.2996,2025-11-03 05:00:00+00:00,731847,234.20749999999998
AAPL,233.53,234.67,229.72,234.4,49630725.0,232.7529,2025-01-13 05:00:00+00:00,561231,233.31750000000002
AAPL,212.43,213.94,210.5801,212.33,49325825.0,212.2847,2025-05-14 04:00:00+00:00,596267,230.1715
AAPL,209.53,211.33,207.22,211.14,48749367.0,209.5626,2025-07-09 04:00:00+00:00,590796,227.35649999999995
AAPL,238.97,240.1,237.7301,238.99,46508017.0,239.2054,2025-09-17 04:00:00+00:00,509297,226.3835
AAPL,212.1,215.78,211.63,212.48,51377434.0,213.3495,2025-07-21 04:00:00+00:00,651657,223.567
AAPL,201.43,202.64,199.46,201.0,50799121.0,200.6328,2025-06-26 04:00:00+00:00,622887,220.244
AAPL,203.575,203.81,198.51,199.95,51477938.0,200.5388,2025-05-29 04:00:00+00:00,652509,220.36699999999996
AAPL,241.79,244.0272,236.112,238.03,47183985.0,239.9029,2025-03-03 05:00:00+00:00,557039,220.315
AAPL,235.42,236.55,229.23,235.74,47227642.0,234.0871,2025-03-05 05:00:00+00:00,558644,222.44400000000002
AAPL,204.89,208.8299,202.94,208.37,47310989.0,207.0889,2025-04-24 04:00:00+00:00,490831,222.66649999999998
AAPL,247.99,251.38,247.65,251.04,51694753.0,250.4623,2024-12-16 05:00:00+00:00,448224,224.4985
AAPL,250.08,253.83,249.78,253.48,51356360.0,252.982,2024-12-17 05:00:00+00:00,487662,223.6875
AAPL,244.925,248.86,244.42,247.1,51326396.0,247.2414,2025-02-24 05:00:00+00:00,593130,225.33499999999998
AAPL,201.855,203.51,199.8,202.14,51343872.0,202.1396,2025-04-15 04:00:00+00:00,595846,223.68900000000002
AAPL,197.2,198.8335,194.42,196.98,52164675.0,196.8888,2025-04-17 04:00:00+00:00,537919,223.37449999999998
AAPL,209.3,213.58,206.6705,212.5,52286454.0,211.3283,2025-04-30 04:00:00+00:00,501667,223.31149999999997
AAPL,198.21,200.65,197.02,198.51,51216482.0,198.8453,2025-05-06 04:00:00+00:00,529849,222.798
AAPL,214.175,214.81,210.82,211.27,51411723.0,212.1244,2025-07-29 04:00:00+00:00,537963,222.2225
AAPL,234.055,235.12,230.85,232.78,51916275.0,232.7455,2025-08-14 04:00:00+00:00,558697,223.36400000000003
AAPL,199.73,200.37,195.7,196.45,51447349.0,197.0361,2025-06-13 04:00:00+00:00,716210,219.734
AAPL,267.89,273.4,267.89,269.77,51203925.0,270.7137,2025-11-06 05:00:00+00:00,718677,221.50249999999997
AAPL,211.895,212.39,207.72,209.05,45512514.0,209.5067,2025-07-30 04:00:00+00:00,542351,221.33849999999998
AAPL,242.87,244.11,241.25,243.01,44383935.0,242.918,2024-12-04 05:00:00+00:00,406663,222.93200000000002
AAPL,261.88,265.29,261.83,262.77,46695748.0,263.4176,2025-10-21 04:00:00+00:00,714945,224.121
AAPL,271.05,275.96,269.6,272.41,47431201.0,273.1083,2025-11-14 05:00:00+00:00,705590,227.1175
AAPL,221.0,221.48,218.58,220.73,44299483.0,220.0734,2025-03-24 04:00:00+00:00,495018,228.10399999999998
AAPL,203.4,205.34,202.16,202.92,44155079.0,203.548,2025-08-05 04:00:00+00:00,491748,228.2525
AAPL,239.97,241.2,236.65,237.88,44249576.0,238.0573,2025-09-18 04:00:00+00:00,517293,228.24499999999998
AAPL,257.99,259.07,255.05,256.69,44664118.0,256.8692,2025-10-06 04:00:00+00:00,649161,229.29249999999996
AAPL,200.71,202.75,199.7,201.36,46742407.0,201.4092,2025-05-22 04:00:00+00:00,615608,228.942
AAPL,239.3,240.15,236.34,237.88,48999495.0,238.2065,2025-09-08 04:00:00+00:00,563611,228.28400000000002
AAPL,226.875,230.45,226.65,230.03,50208578.0,229.1184,2025-09-11 04:00:00+00:00,592895,227.11150000000004
AAPL,228.2,235.23,228.13,232.62,53710612.0,232.4505,2025-02-11 05:00:00+00:00,552126,226.3875
AAPL,236.91,242.3399,235.57,241.53,53614054.0,240.3233,2025-02-13 05:00:00+00:00,531132,228.35699999999997
AAPL,240.01,240.16,233.0,236.85,61705156.0,236.6063,2025-01-10 05:00:00+00:00,685975,230.3505
AAPL,215.95,216.8394,208.42,209.68,61318730.0,212.0144,2025-03-13 04:00:00+00:00,768933,230.20950000000002
AAPL,227.92,229.56,224.76,227.18,61806132.0,227.323,2025-08-11 04:00:00+00:00,692122,231.64299999999997
AAPL,254.94,256.38,244.0,245.27,61999098.0,248.3661,2025-10-10 04:00:00+00:00,908253,233.34300000000002
AAPL,224.74,227.03,222.3,223.66,60234760.0,224.1093,2025-01-23 05:00:00+00:00,619806,232.887
AAPL,211.25,213.95,209.58,213.49,60107582.0,212.4529,2025-03-14 04:00:00+00:00,668917,233.73899999999998
AAPL,198.36,200.7,192.37,194.27,59727673.0,195.8891,2025-04-16 04:00:00+00:00,744248,229.96400000000003
AAPL,205.17,207.04,200.71,202.09,59211774.0,203.4576,2025-05-21 04:00:00+00:00,783994,229.61600000000004
AAPL,255.875,257.34,253.58,254.43,60275187.0,255.1677,2025-09-23 04:00:00+00:00,673983,230.18699999999998
AAPL,203.5,204.5,198.41,198.78,60989857.0,200.4652,2025-06-11 04:00:00+00:00,770310,226.9875
AAPL,219.79,224.12,219.79,223.83,64126500.0,222.8221,2025-01-22 05:00:00+00:00,683037,224.5585
AAPL,220.14,221.75,214.91,216.98,62547467.0,217.6087,2025-03-12 04:00:00+00:00,792931,224.371
AAPL,237.175,241.22,236.3235,238.15,63421099.0,238.8414,2025-09-16 04:00:00+00:00,679032,226.13250000000002
AAPL,208.49,209.84,207.16,207.57,80698431.0,208.9948,2025-07-31 04:00:00+00:00,827514,224.61700000000002
AAPL,204.39,206.0,200.02,201.45,72862557.0,202.5405,2025-06-09 04:00:00+00:00,860118,221.85500000000002
AAPL,237.35,238.01,228.03,228.26,71752652.0,230.4964,2025-01-16 05:00:00+00:00,786111,223.2
AAPL,217.005,225.62,216.23,222.13,65283571.0,220.6569,2025-03-31 04:00:00+00:00,646562,222.4125
AAPL,201.89,203.22,200.0,201.08,73188571.0,201.4224,2025-06-27 04:00:00+00:00,596078,220.965
AAPL,206.665,210.1865,206.1401,207.82,78788867.0,208.176,2025-07-01 04:00:00+00:00,970491,219.725
AAPL,210.97,211.2679,206.75,210.79,63775814.0,209.7114,2025-05-12 04:00:00+00:00,806841,218.18800000000002
AAPL,223.805,225.8399,217.45,220.84,76124402.0,221.1807,2025-03-11 04:00:00+00:00,899697,217.3875
AAPL,193.665,197.7,193.46,195.27,78432918.0,195.8833,2025-05-23 04:00:00+00:00,1035410,216.66699999999997
AAPL,232.185,232.42,225.95,226.79,83440810.0,227.7892,2025-09-10 04:00:00+00:00,1031749,216.64750000000004
AAPL,234.0,234.28,229.335,231.59,56038657.0,231.5464,2025-08-15 04:00:00+00:00,503028,215.96349999999998
AAPL,210.505,213.48,210.03,212.41,44443635.0,212.2489,2025-07-10 04:00:00+00:00,545131,215.401
AAPL,228.005,230.8,227.07,229.65,55672301.0,229.3355,2025-08-12 04:00:00+00:00,561508,216.209
AAPL,198.3,200.74,197.43,200.21,56288475.0,199.4808,2025-05-27 04:00:00+00:00,710445,216.506
AAPL,214.22,218.76,213.75,215.24,54383891.0,215.5599,2025-03-19 04:00:00+00:00,524677,217.16349999999997
AAPL,212.36,212.57,209.77,211.26,54737850.0,211.25,2025-05-16 04:00:00+00:00,512788,215.00499999999997
AAPL,245.95,248.69,245.22,245.55,53196141.0,246.3756,2025-02-21 05:00:00+00:00,508397,217.3435
AAPL,196.12,201.59,195.97,199.74,52976371.0,199.2937,2025-04-22 04:00:00+00:00,608790,216.13899999999998
AAPL,202.59,203.44,200.2,200.3,54064033.0,201.4391,2025-06-24 04:00:00+00:00,666917,215.30499999999998
AAPL,269.795,272.29,266.77,268.47,48227365.0,269.0051,2025-11-07 05:00:00+00:00,754451,216.821
AAPL,254.665,259.24,253.95,258.02,49155614.0,257.8596,2025-10-03 04:00:00+00:00,706052,219.34350000000003
AAPL,248.02,253.38,247.27,252.29,49146961.0,250.7598,2025-10-17 04:00:00+00:00,634830,221.8855
AAPL,268.325,271.486,267.615,270.04,49271745.0,269.7485,2025-11-04 05:00:00+00:00,713268,223.97450000000003
AAPL,274.11,276.699,272.09,272.95,49602794.0,273.3661,2025-11-13 05:00:00+00:00,684410,226.51550000000003
AAPL,237.705,240.07,234.68,235.93,53798024.0,237.5186,2025-03-04 05:00:00+00:00,685392,228.25799999999998
AAPL,206.0,208.0,202.799,204.6,52929165.0,205.3603,2025-04-23 04:00:00+00:00,664354,228.09699999999998
AAPL,200.6,204.35,200.57,202.67,54672608.0,202.5339,2025-06-10 04:00:00+00:00,611323,227.69099999999997
AAPL,239.995,241.32,238.4901,239.69,54870397.0,239.6771,2025-09-05 04:00:00+00:00,610786,228.6335
AAPL,203.5,204.75,200.15,200.63,55221235.0,201.838,2025-06-05 04:00:00+00:00,637645,228.9015
AAPL,253.205,257.17,251.712,256.87,55202075.0,254.8219,2025-09-25 04:00:00+00:00,625867,230.4055
AAPL,209.08,214.56,208.9,213.32,57364925.0,211.8686,2025-05-01 04:00:00+00:00,712565,229.49200000000002
AAPL,252.16,254.28,247.74,248.05,56764701.0,250.531,2024-12-18 05:00:00+00:00,564346,231.27400000000003
AAPL,236.95,242.09,230.2,241.84,56833349.0,239.5113,2025-02-28 05:00:00+00:00,572583,231.8835
AAPL,229.22,234.51,229.02,234.07,55824216.0,233.1344,2025-09-12 04:00:00+00:00,602121,233.57650000000004
AAPL,247.5,252.0,247.0949,249.79,60559114.0,249.8401,2024-12-19 05:00:00+00:00,532893,235.304
AAPL,248.93,249.1,241.8201,243.85,55090731.0,244.346,2025-01-02 05:00:00+00:00,685447,236.9335
AAPL,238.665,240.79,237.21,237.59,55658279.0,238.9601,2025-01-30 05:00:00+00:00,636380,236.5355
AAPL,201.625,202.3,198.96,201.5,55814272.0,201.1824,2025-06-23 04:00:00+00:00,618980,236.6235
AAPL,210.95,212.96,209.54,211.45,45029473.0,211.308,2025-05-15 04:00:00+00:00,550863,237.18099999999998
AAPL,226.87,229.49,224.69,229.31,54575107.0,228.1997,2025-08-26 04:00:00+00:00,405233,235.223
AAPL,244.33,244.98,239.13,240.36,44433564.0,241.6568,2025-02-26 05:00:00+00:00,557242,234.34
AAPL,248.25,249.04,245.13,247.45,39776974.0,247.354,2025-10-16 04:00:00+00:00,616258,234.09799999999996
AAPL,226.48,229.3,226.23,227.16,30983133.0,227.9958,2025-08-25 04:00:00+00:00,426385,231.954
AAPL,228.61,230.9,228.26,230.49,31259513.0,230.023,2025-08-27 04:00:00+00:00,387841,229.831
AAPL,244.66,246.01,243.1604,244.87,32204215.0,244.6863,2025-02-19 05:00:00+00:00,383453,230.27800000000002
AAPL,244.94,246.78,244.29,245.83,32316907.0,245.6383,2025-02-20 05:00:00+00:00,405771,232.3395
AAPL,258.19,260.1,257.63,259.02,27262983.0,258.9315,2024-12-26 05:00:00+00:00,362325,235.157
AAPL,228.06,230.7199,228.06,229.87,38168252.0,229.6877,2024-11-22 05:00:00+00:00,380624,234.66600000000003
AAPL,239.81,242.76,238.9,242.65,38861017.0,241.644,2024-12-03 05:00:00+00:00,419384,236.767
AAPL,206.365,209.75,206.2,209.28,38222258.0,208.3682,2025-04-25 04:00:00+00:00,469917,234.3875
AAPL,210.0,211.5,207.46,210.14,38737224.0,209.6743,2025-04-28 04:00:00+00:00,436968,234.2285
AAPL,214.03,214.845,213.06,214.05,37858017.0,214.04,2025-07-28 04:00:00+00:00,425354,232.52849999999998
AAPL,230.82,233.41,229.335,232.56,38074700.0,232.0548,2025-08-28 04:00:00+00:00,423338,232.0645
AAPL,257.805,258.0,253.14,254.04,38322012.0,254.5102,2025-10-09 04:00:00+00:00,536585,233.06299999999996
AAPL,259.94,260.62,258.0101,259.58,32752139.0,259.577,2025-10-23 04:00:00+00:00,482428,233.55249999999995
AAPL,212.145,214.65,211.8101,213.55,34954599.0,213.5582,2025-07-03 04:00:00+00:00,432767,232.0375
AAPL,229.25,230.85,226.97,229.72,44075638.0,229.9932,2025-09-02 04:00:00+00:00,598029,231.644
AAPL,255.49,258.21,255.29,258.2,23234705.0,257.4634,2024-12-24 05:00:00+00:00,245932,234.47899999999998
AAPL,221.67,223.81,217.68,217.9,39818617.0,219.3577,2025-03-28 04:00:00+00:00,485185,234.80150000000003
AAPL,228.88,230.155,225.7103,228.52,42108327.0,228.4689,2024-11-21 05:00:00+00:00,431685,234.762
AAPL,209.22,211.89,208.92,209.11,42296339.0,210.0604,2025-07-15 04:00:00+00:00,526311,233.19950000000003
AAPL,229.98,230.47,225.77,226.01,42263865.0,226.7667,2025-08-20 04:00:00+00:00,527559,232.1275
AAPL,268.985,269.89,268.15,269.0,41534547.0,268.9865,2025-10-28 04:00:00+00:00,585457,234.21949999999998
AAPL,202.91,206.24,202.1,202.82,43603985.0,203.6276,2025-06-04 04:00:00+00:00,568214,232.836
AAPL,231.285,233.8,230.425,233.22,29869249.0,232.4036,2025-02-06 05:00:00+00:00,375400,232.25349999999997
AAPL,197.3,198.685,196.5636,198.42,43020691.0,197.8895,2025-06-16 04:00:00+00:00,568354,229.88299999999998
AAPL,223.51,225.02,220.47,221.53,34492906.0,222.5202,2025-03-26 04:00:00+00:00,440451,228.0085
AAPL,243.36,244.18,241.89,243.36,40244114.0,243.0805,2025-01-03 05:00:00+00:00,493786,228.683
AAPL,234.435,237.86,233.1581,235.33,45155019.0,235.2928,2025-03-06 05:00:00+00:00,551789,228.317
AAPL,228.06,229.93,225.89,229.0,35075316.0,228.0808,2024-11-20 05:00:00+00:00,358454,229.30300000000003
AAPL,242.905,244.63,242.08,242.84,36870619.0,243.187,2024-12-06 05:00:00+00:00,366549,230.93800000000002
AAPL,199.0,200.5399,197.535,198.53,36453923.0,198.6614,2025-05-09 04:00:00+00:00,423067,230.16199999999998
