vwap,transactions,ticker,timestamp,open,high,low,close,volume,sma_close_20
97.6039,190757,AAPL,2000-06-02 00:00:00+00:00,93.75,99.75,89.0,92.56,7079000,408.2938076390116
201.1824,618980,AAPL,2025-06-23 00:00:00+00:00,201.625,202.3,198.96,201.5,55814272,265.084397956376
199.4808,710445,AAPL,2025-05-27 00:00:00+00:00,198.3,200.74,197.43,200.21,56288475,831.7085060708991
238.9601,636380,AAPL,2025-01-30 00:00:00+00:00,238.665,240.79,237.21,237.59,55658279,926.2092529206614
244.346,685447,AAPL,2025-01-02 00:00:00+00:00,248.93,249.1,241.8201,243.85,55740731,302.29015565413806
,515220,AAPL,2007-11-21 00:00:00+00:00,165.84,172.35,164.67,168.46,43493200,378.35441168632167
194.3371,588537,AAPL,2024-01-22 00:00:00+00:00,192.3,195.33,192.26,193.89,60133852,646.9672917374074
,208199,AAPL,2016-06-20 00:00:00+00:00,96.0,96.57,95.03,95.1,34411901,597.6623100693955
249.8401,532893,AAPL,2010-08-23 00:00:00+00:00,251.79,252.0,245.25,245.8,14787200,-619.291827817909
,271719,AAPL,2000-01-12 00:00:00+00:00,95.0,95.5,86.5,87.19,8714900,633.3107267486387
233.1344,602121,AAPL,2025-09-12 00:00:00+00:00,229.22,234.51,229.02,234.07,55824216,469.3744638549835
239.5113,572583,AAPL,2025-02-28 00:00:00+00:00,236.95,242.09,230.2,241.84,56833360,-94.15422903170685
250.531,564346,AAPL,2024-12-18 00:00:00+00:00,252.16,254.28,247.74,248.05,56774101,754.2530654807883
,407132,AAPL,2018-09-21 00:00:00+00:00,220.78,221.36,217.29,217.66,96246748,-658.2071642964313
229.3355,561508,AAPL,2025-08-12 00:00:00+00:00,228.005,230.8,227.07,229.65,55672301,475.2860417383321
,492112,AAPL,2023-05-23 00:00:00+00:00,173.13,173.3794,171.275,171.56,50747263,172.91948794654752
172.2077,542049,AAPL,2008-01-11 00:00:00+00:00,176.0,177.85,170.0,172.69,44010200,313.58936122169206
,279633,AAPL,2009-03-12 00:00:00+00:00,92.9703,96.58,92.0,96.35,27444900,139.17893651991054
,191741,AAPL,2012-11-01 00:00:00+00:00,598.22,603.0,594.17,596.5399,12903500,352.6597329555274
,216129,AAPL,2012-11-01 00:00:00+00:00,598.22,603.0,594.17,596.5399,12903500,228.55499
183.5563,330693,AAPL,2008-05-19 00:00:00+00:00,187.9,188.69,181.3,183.6,33779300,233.10699
,315069,AAPL,2018-02-28 00:00:00+00:00,179.26,180.62,178.05,178.12,33604574,231.93798999999999
241.8493,667465,AAPL,2010-07-20 00:00:00+00:00,242.9,252.9,240.01,251.89,38391100,234.52198999999996
174.5833,575944,AAPL,2007-10-22 00:00:00+00:00,170.35,174.9,169.9601,174.36,58910700,231.36049000000003
173.5808,527949,AAPL,2008-05-22 00:00:00+00:00,179.18,181.33,172.0,177.05,43097700,228.02049000000002
231.2132,497327,AAPL,2025-08-18 00:00:00+00:00,231.7,233.12,230.11,230.89,37476188,231.14199
194.3371,588537,AAPL,2009-11-05 00:00:00+00:00,192.4,195.0,191.82,194.0301,13742900,231.14899499999996
,380562,AAPL,2018-11-21 00:00:00+00:00,179.73,180.27,176.55,176.78,31124210,235.23299500000002
87.2957,229058,AAPL,2008-11-19 00:00:00+00:00,89.44,91.58,86.21,86.29,41853600,227.257495
165.1778,490822,AAPL,2007-11-21 00:00:00+00:00,165.84,172.35,164.67,168.46,43493200,231.32099500000004
231.5464,503028,AAPL,2025-08-15 00:00:00+00:00,234.0,234.28,229.335,231.59,56038657,231.19699499999996
,416868,AAPL,2024-03-27 00:00:00+00:00,170.41,173.6,170.11,173.31,60273265,227.77049499999998
,497327,AAPL,2024-11-19 00:00:00+00:00,226.98,230.16,226.66,228.28,36211774,226.781995
,332199,AAPL,2023-08-03 00:00:00+00:00,191.57,192.37,190.69,191.17,62243282,225.45749499999997
237.58,418803,AAPL,2025-09-08 00:00:00+00:00,239.3,240.15,236.34,237.88,48999495,225.86899499999998
90.8684,279633,AAPL,2009-02-02 00:00:00+00:00,89.1,92.0,88.9,91.51,19937400,221.86649500000004
269.8162,588619,AAPL,2020-04-07 00:00:00+00:00,270.8,271.7,259.0,259.43,50721831,226.20349499999998
203.3046,383402,AAPL,2025-04-23 00:00:00+00:00,206.0,208.0,202.799,204.6,52929165,231.61599499999997
280.7015,863530,AAPL,2020-02-27 00:00:00+00:00,281.1,286.0,272.96,273.52,80151381,215.46499999999997
218.1426,373519,AAPL,2019-09-11 00:00:00+00:00,218.07,223.71,217.73,223.59,44289646,196.817505
170.1052,521290,AAPL,2022-08-11 00:00:00+00:00,170.06,170.99,168.19,168.49,57149159,196.062005
188.4964,499932,AAPL,2024-05-23 00:00:00+00:00,190.98,191.0,186.625,186.88,51005924,196.50000500000002
239.4992,469685,AAPL,2010-05-25 00:00:00+00:00,239.35,246.76,237.16,245.22,37428800,196.16650499999997
223.3729,387118,AAPL,2018-09-14 00:00:00+00:00,225.75,226.84,222.52,223.84,31999289,198.64050500000002
238.2065,563611,AAPL,2025-01-15 00:00:00+00:00,234.635,238.96,234.43,237.87,39831969,201.681505
,502342,AAPL,2018-06-19 00:00:00+00:00,185.14,186.33,183.45,185.69,33578455,199.421505
256.8692,649161,AAPL,2020-03-16 00:00:00+00:00,241.95,259.08,240.0,242.21,80605865,201.8305
89.2414,278831,AAPL,2009-01-02 00:00:00+00:00,85.88,91.04,85.16,90.75,26643400,197.529
228.1779,279949,AAPL,2024-09-03 00:00:00+00:00,228.55,229.0,221.17,222.77,50190574,204.353
,479260,AAPL,2021-10-27 00:00:00+00:00,149.36,149.73,148.49,148.85,56094929,203.3725
,387118,AAPL,2019-09-20 00:00:00+00:00,221.38,222.56,217.47,217.73,57977094,202.6795
,720916,AAPL,2023-07-14 00:00:00+00:00,190.23,191.1799,189.63,190.69,41616242,203.5485
189.585,328515,AAPL,2007-11-06 00:00:00+00:00,187.05,192.0,185.27,191.79,34097400,201.724
211.8686,712565,AAPL,2025-05-01 00:00:00+00:00,209.08,214.56,208.9,213.32,57365675,202.8315
,196027,AAPL,2014-06-06 00:00:00+00:00,649.9,651.26,644.47,645.57,12497800,223.21599999999998
183.321,500167,AAPL,2007-12-18 00:00:00+00:00,186.52,187.33,178.6,182.98,43664400,227.7895
,398795,AAPL,2009-09-17 00:00:00+00:00,181.98,186.79,181.97,184.55,28949000,224.04550000000003
255.458,550704,AAPL,2020-03-17 00:00:00+00:00,247.51,257.61,238.4,252.86,81013965,226.45850000000002
,573895,AAPL,2023-08-01 00:00:00+00:00,196.235,196.73,195.28,195.605,35281426,222.56274999999997
180.3627,398795,AAPL,2008-01-04 00:00:00+00:00,191.45,193.0,178.89,180.05,51994000,220.38575
,583310,AAPL,2010-08-23 00:00:00+00:00,251.79,252.0,245.25,245.8,14787200,224.25124999999997
,528166,AAPL,2018-06-18 00:00:00+00:00,187.88,189.22,187.2,188.74,18484865,224.34425000000002
,465738,AAPL,2017-05-10 00:00:00+00:00,153.63,153.94,152.11,153.26,25670456,219.74625
,827964,AAPL,2023-03-15 00:00:00+00:00,151.19,153.245,149.92,152.99,77167866,216.20374999999999
172.2077,542049,AAPL,2007-11-27 00:00:00+00:00,175.22,175.79,170.01,174.81,47036800,213.05075000000002
,178272,AAPL,2014-06-06 00:00:00+00:00,649.9,651.26,644.47,645.57,12497800,236.04475000000002
183.6997,445505,AAPL,2008-05-21 00:00:00+00:00,185.61,188.0,176.25,178.19,41344900,232.84375
227.2326,577811,AAPL,2018-10-05 00:00:00+00:00,227.96,228.41,220.58,224.29,33580463,239.52075
248.3166,512324,AAPL,2010-07-13 00:00:00+00:00,256.32,256.4,246.43,251.798,42533000,240.97214999999997
,519499,AAPL,2018-04-03 00:00:00+00:00,167.64,168.75,164.88,168.39,30278046,241.94915
,516091,AAPL,2024-01-12 00:00:00+00:00,186.06,186.74,185.19,185.92,40477782,240.35864999999998
171.8896,403758,AAPL,2008-06-16 00:00:00+00:00,171.25,177.9,169.07,176.84,37561800,239.66615000000002
,654274,AAPL,2025-03-19 00:00:00+00:00,214.22,218.76,213.75,215.24,54385391,240.83865
239.6771,610786,AAPL,2025-09-05 00:00:00+00:00,239.995,241.32,238.4901,239.69,54870397,242.15715000000006
202.5339,611323,AAPL,2025-06-10 00:00:00+00:00,200.6,204.35,200.57,202.67,54672608,220.01214999999996
,538759,AAPL,2023-05-26 00:00:00+00:00,173.32,175.77,173.11,175.43,54834975,219.63465000000002
166.9255,726774,AAPL,2007-11-15 00:00:00+00:00,166.39,169.59,160.3,164.3,53121800,218.62215
182.9501,656762,AAPL,2007-10-24 00:00:00+00:00,185.81,187.21,179.24,185.93,46017200,215.27565000000004
,667465,AAPL,2025-09-05 00:00:00+00:00,239.995,241.32,238.4901,239.69,54870397,217.4799
90.0569,265920,AAPL,2008-12-04 00:00:00+00:00,94.43,95.21,89.06,91.41,38977500,213.04789999999997
214.6135,475101,AAPL,2018-08-17 00:00:00+00:00,213.44,217.95,213.16,217.58,35426997,211.63690000000003
,378251,AAPL,2019-03-29 00:00:00+00:00,189.83,190.08,188.54,189.95,23563961,211.69740000000002
224.5411,508912,AAPL,2025-03-26 00:00:00+00:00,223.51,225.02,220.47,221.53,34532656,215.1109
,519499,AAPL,2017-11-02 00:00:00+00:00,167.64,168.5,165.28,168.11,32710040,215.86690000000004
,654274,AAPL,2024-06-27 00:00:00+00:00,214.69,215.7395,212.35,214.1,49772707,217.83139999999997
200.1993,305073,AAPL,2025-04-22 00:00:00+00:00,196.12,201.59,195.97,199.74,52976371,195.53990000000002
238.0573,517293,AAPL,2025-01-15 00:00:00+00:00,234.635,238.96,234.43,237.87,39831969,198.5239
205.3603,664354,AAPL,2025-04-23 00:00:00+00:00,206.0,208.0,202.799,204.6,52929165,197.5394
237.5186,685392,AAPL,2025-03-04 00:00:00+00:00,237.705,240.07,234.68,235.93,53798062,196.746
,271719,AAPL,2014-07-21 00:00:00+00:00,94.99,95.0,93.72,93.939,39079000,193.02345
273.3661,684410,AAPL,2025-11-13 00:00:00+00:00,274.11,276.699,272.09,272.95,49602794,197.37494999999998
