vwap,transactions,ticker,timestamp,open,high,low,close,volume,sma_close_10
,149086,AAPL,1999-11-26 00:00:00+00:00,94.75,95.5,94.12,95.06,1179200,202.84386338015943
254.5102,536585,AAPL,2025-10-09 00:00:00+00:00,257.805,258.0,253.14,254.04,38322012,202.92171916499905
247.9036,614923,AAPL,2025-10-13 00:00:00+00:00,249.38,249.69,245.56,247.66,38142942,192.97713046934996
228.8407,811104,AAPL,2024-09-19 00:00:00+00:00,224.99,229.82,224.63,228.87,66781315,208.40178622035268
183.786,880106,AAPL,2023-09-06 00:00:00+00:00,188.4,188.85,181.47,182.91,81755816,201.01609685047418
204.2151,785189,AAPL,2025-08-04 00:00:00+00:00,204.505,207.88,201.675,203.35,75109298,201.26723810289215
180.6479,617235,AAPL,2023-06-02 00:00:00+00:00,181.03,181.78,179.26,180.95,61996913,202.02898009080212
178.6619,669062,AAPL,2023-06-07 00:00:00+00:00,178.44,181.21,177.32,177.82,61944615,195.4208662894486
191.1312,754703,AAPL,2023-08-03 00:00:00+00:00,191.57,192.37,190.69,191.17,62243282,194.03126110808128
181.474,682334,AAPL,2024-01-05 00:00:00+00:00,181.99,182.76,180.17,181.18,62196924,194.301
219.0689,816144,AAPL,2024-07-24 00:00:00+00:00,224.0,224.8,217.13,218.54,61777576,206.64899999999997
236.6063,685975,AAPL,2025-01-10 00:00:00+00:00,240.01,240.16,233.0,236.85,61710856,204.93
227.323,692122,AAPL,2025-08-11 00:00:00+00:00,227.92,229.56,224.76,227.18,61806132,202.882
242.2993,406915,AAPL,2025-01-08 00:00:00+00:00,241.92,243.7123,240.05,242.7,37628940,204.265
182.8866,767281,AAPL,2018-05-04 00:00:00+00:00,178.25,184.25,178.17,183.83,56201317,204.357
221.1807,899697,AAPL,2025-03-11 00:00:00+00:00,223.805,225.8399,217.45,220.84,76137410,206.106
255.458,550704,AAPL,2020-03-17 00:00:00+00:00,247.51,257.61,238.4,252.86,81013965,213.29700000000003
175.4587,866388,AAPL,2024-03-18 00:00:00+00:00,175.57,177.71,173.52,173.72,75604184,212.887
237.4839,788816,AAPL,2025-01-28 00:00:00+00:00,230.85,240.19,230.81,238.26,75707569,217.596
167.5944,815217,AAPL,2023-10-26 00:00:00+00:00,170.37,171.3775,165.67,166.89,70625258,216.167
181.2627,653779,AAPL,2023-11-07 00:00:00+00:00,179.18,182.44,178.97,181.82,70529966,212.49499999999998
196.9085,672552,AAPL,2023-12-13 00:00:00+00:00,195.09,198.0,194.85,197.96,70404183,208.606
227.2124,541125,AAPL,2024-11-08 00:00:00+00:00,227.17,228.66,226.405,226.96,38328824,208.584
