capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
12715000000,-120686000000,15195000000,,,1400000000,,,,11698000000,15421000000.0,15421000000.0,,2025-09-30,112010000000,111482000000,,,,,,,,,,-90711000000,,,USD
9447000000,-121983000000,2935000000,,,-1046000000,,,,11445000000,15234000000.0,15234000000.0,,2024-09-30,93736000000,118254000000,,,,,,,,,,-94949000000,,,USD
10959000000,-108488000000,3705000000,5760000000.0,,-1618000000,,,-417000000.0,11519000000,15025000000.0,15025000000.0,,2023-09-30,96995000000,110543000000,,,,,,,,,,-77550000000,,,USD
10708000000,-110749000000,-22354000000,-10952000000.0,,1484000000,,,-9343000000.0,11104000000,14841000000.0,14841000000.0,,2022-09-30,99803000000,122151000000,,,,,,,,,,-89402000000,,,USD
11085000000,-93353000000,-14545000000,-3860000000.0,,-2642000000,,,-14028000000.0,11284000000,14467000000.0,14467000000.0,,2021-09-30,94680000000,104038000000,,,,,,,,,,-85971000000,,,USD
7309000000,-86820000000,-4289000000,-10435000000.0,,-127000000,,,8470000000.0,11056000000,14081000000.0,14081000000.0,,2020-09-30,57411000000,80674000000,,,,,,,,,,-72358000000,,,USD
10495000000,-90976000000,45896000000,24311000000.0,,-289000000,,,3176000000.0,12547000000,14119000000.0,14119000000.0,,2019-09-30,55256000000,69391000000,,,,,,,,,,-66897000000,,,USD
13313000000,-87876000000,16066000000,5624000000.0,,828000000,,,-13332000000.0,10903000000,13712000000.0,13712000000.0,,2018-09-30,59531000000,77434000000,,,,,,,,,,-72738000000,,,USD
12451000000,-17347000000,-46446000000,-195000000.0,,-2723000000,,,-6347000000.0,10157000000,12769000000.0,12769000000.0,,2017-09-30,48351000000,63598000000,,,,,,,,,,-32900000000,,,USD
12734000000,-20483000000,-45977000000,-636000000.0,,217000000,,,1044000000.0,10505000000,12150000000.0,12150000000.0,,2016-09-30,45687000000,65824000000,,,,,,,,,,-29722000000,,,USD
11247000000,-17716000000,-56274000000,7276000000.0,,-238000000,,,611000000.0,11257000000,11561000000.0,11561000000.0,,2015-09-30,53394000000,81266000000,,,,,,,,,,-35253000000,,,USD
9571000000,-37549000000,-22579000000,-415000000.0,,-76000000,,,-6452000000.0,7946000000,11126000000.0,11126000000.0,,2014-09-30,39510000000,59713000000,,,,,,,,,,-45000000000,,,USD
8165000000,-16379000000,-33774000000,3513000000.0,,-973000000,,,-1949000000.0,6757000000,10564000000.0,10564000000.0,,2013-09-30,37037000000,53666000000,,,,,,,,,,-22860000000,,,USD
8295000000,-1698000000,-48227000000,931000000.0,,-15000000,,,-6965000000.0,3277000000,2488000000.0,2488000000.0,,2012-09-30,41733000000,50856000000,,,,,,,,,,665000000,,,USD
4260000000,1444000000,-40419000000,-1446000000.0,,275000000,,,-1791000000.0,1814000000,,,,2011-09-30,25922000000,37529000000,,,,,,,,,,831000000,,,USD
2005000000,1257000000,-13854000000,5998000000.0,,-596000000,,,-4860000000.0,1027000000,,,,2010-09-30,14013000000,18595000000,,,,,,,,,,912000000,,,USD
1144000000,663000000,-17434000000,-6612000000.0,,54000000,,,-939000000.0,703000000,,,,2009-09-30,5704000000,10159000000,,,,,,,,,,475000000,,,USD
1091000000,1116000000,-8189000000,2523000000.0,,-163000000,,,,473000000,,,,2008-09-30,4834000000,9596000000,,,,,,,,,,-124000000,,,USD
735000000,739000000,-3249000000,2960000000.0,,-76000000,,,,317000000,,,,2007-09-30,3496000000,5470000000,,,,,,,,,,-3000000,,,USD
657000000,324000000,357000000,2901000000.0,,-105000000,,,,225000000,,,,2006-09-30,1989000000,2220000000,,,,,,,,,,-355000000,,,USD
